Timestamp,"Ich bestätige, dass ich die obigen Informationen gelesen und verstanden habe und der Teilnahme an dieser anonymen Umfrage zustimme.  ",Frage 1. Welche der folgenden Aussagen beschreibt Sie am besten? (Mehrfachauswahl möglich),Frage 2. Familienstand ,Frage 3. In welcher Stadt oder Region wohnen Sie derzeit?,Frage 4: Woher kommen Sie?,"Frage 5: Wie oft nutzen Sie Online-Wohnungsplattformen wie ImmobilienScout24, WG-Gesucht oder andere, wenn Sie in Deutschland eine Wohnung suchen? ",Frage 6: Welche Plattformen haben Sie am häufigsten genutzt? (Mehrfachauswahl möglich),"Frage 7: Wie nützlich finden Sie diese Plattformen, um passende Wohnungen zu finden?",Frage 8: Welche Probleme haben Sie bei der Nutzung dieser Plattformen erlebt? (Mehrfachauswahl möglich),"Frage 9: Wie lange dauert es im Durchschnitt, bis Sie über diese Plattformen eine passende Wohnung finden?","Frage 10: Wenn Sie nach Wohnungen suchen, wie viele Besichtigungen machen Sie in der Regel, bevor Sie sich für eine Wohnung entscheiden?","Frage 11: Wenn Ihnen ein neuer Service angeboten würde, der Ihnen bei der Suche nach Wohnungsangeboten hilft, wie interessiert wären Sie daran?","Frage 12: Welche Änderungen/neuen Funktionen würden Sie dazu bewegen, einen Service für die Wohnungssuche/Besichtigung eher zu nutzen?",Frage 13: In welchen Situationen würden Sie den Agentbesichtigungsdienst in Anspruch nehmen? (Mehrfachauswahl möglich) ,"Frage 14: Welche der folgenden Überprüfungsmaßnahmen würden Ihnen mehr Vertrauen in die Person geben, die in Ihrem Namen eine Wohnung besichtigt? (Mehrfachauswahl möglich)",Frage 15. Haben Sie weitere Anmerkungen/Feedback?
8/22/2025 17:41:30,Ja,berufstätige Person,Single,Marburg ,Deutschland ,Immer,WG-Gesucht,Sehr nützlich,Hohe Konkurrenz um Inserate,Weniger als 1 Monat,1 - 3,Mäßig interessiert,"1, 2, 3, 4, 5, 6, 7",Ich würde diesen Service nicht in Anspruch nehmen wollen.,"Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
8/22/2025 19:34:41,Ja,berufstätige Person,Single,Frankfurt,Deutschland,Immer,ImmobilienScout24,Sehr nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren",Weniger als 1 Monat,1 - 3,Mäßig interessiert,"1, 2, 5","Ich lebe in einer anderen Stadt / einem anderen Land, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden, Möglichkeit, den Agent vor/nach der Besichtigung direkt zu kontaktieren (per Videoanruf/DM)., Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten).",
8/22/2025 21:38:20,Ja,berufstätige Person,Familie mit Kindern,Bremen,Deutschland ,Immer,"ImmobilienScout24, Immowelt",Extrem nützlich,keine,Weniger als 1 Monat,4 - 7,Überhaupt nicht interessiert,Keine ,Ich würde diesen Service nicht in Anspruch nehmen wollen.,"Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",Ich würde meine Wohnung immer selbst aussuchen wollen und finde gerade der Immobilienmarkt braucht wirklich nicht noch mehr Zwischenhändler:innen und Blutsaugende wie z.B. Makler:innen. Findet einen sinnvollere Job. 
8/22/2025 22:09:47,Ja,berufstätige Person,Paar,München,"USA, Deutschland",Immer,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen",Mäßig nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate, Hohe Mitgliedsgebühren, Begrenzte Verfügbarkeit in meiner Wunschregion, Hohe Absagequote",Noch auf der Suche 3+ Monate,16+,Mäßig interessiert,"1, 4, 10","Ich lebe in einer anderen Stadt / einem anderen Land, Ich habe einen vollen Arbeitsplan",Kostenloser Service aber gut bezahlte Belohnung für Vermittling,
8/23/2025 1:09:21,Ja,berufstätige Person,Single,Frankfurt am Main,Deutschland ,Oft,"ImmobilienScout24, Immowelt",Extrem nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate",1–3 Monate,8 - 15,Mäßig interessiert,"1, 3, 4, 5, 6, 8",Ich lebe in einer anderen Stadt / einem anderen Land,"Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten).",
8/23/2025 7:59:05,Ja,berufstätige Person,Single,Frankfurt,Deutschland,Selten,ImmobilienScout24,Extrem nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate",Mehr als 6 Monate,8 - 15,Sehr interessiert,"1, 6, 8",Ich lebe in einer anderen Stadt / einem anderen Land,"Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden",
8/23/2025 9:17:18,Ja,berufstätige Person,Paar,Frankfurt am Main ,Deutschland ,Immer,"ImmobilienScout24, WG-Gesucht, eBay Kleinanzeigen",Extrem nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate, Hohe Mitgliedsgebühren",Weniger als 1 Monat,1 - 3,Überhaupt nicht interessiert,"1, 3",Ich lebe in einer anderen Stadt / einem anderen Land,"Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden",
8/23/2025 15:30:23,Ja,berufstätige Person,Paar,Frankfurt am Main,Deutschland,Immer,ImmobilienScout24,Sehr nützlich,"Hohe Konkurrenz um Inserate, Hohe Mitgliedsgebühren",1–3 Monate,4 - 7,Überhaupt nicht interessiert,"5, 8",Ich würde diesen Service nicht in Anspruch nehmen wollen.,"Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
8/23/2025 20:55:46,Ja,berufstätige Person,Paar,Wuppertal,Deutschland,Immer,ImmobilienScout24,Extrem nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate",1–3 Monate,4 - 7,Sehr interessiert,"1, 3, 4, 5, 7","Ich lebe in einer anderen Stadt / einem anderen Land, Ich möchte Betrug oder irreführende Inserate vermeiden, Ich möchte eine professionelle Einschätzung zum Zustand der Wohnung, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Unterzeichnete Vereinbarung, in der die Verantwortlichkeiten und der Umfang des Besuchs dargelegt sind., Bewertungen und Erfahrungsberichte von früheren Kunden, Von der Plattform ausgestelltes digitales Verifizierungsabzeichen (verifizierte Identitätsprüfung des Agenten).",
8/23/2025 21:59:52,Ja,berufstätige Person,Single,Frankfurt,Deutschland,Immer,"ImmobilienScout24, Immowelt, eBay Kleinanzeigen",Sehr nützlich,"Hohe Konkurrenz um Inserate, Falsche oder irreführende Inserate, Hohe Mitgliedsgebühren",Mehr als 6 Monate,8 - 15,Mäßig interessiert,"2, 4, 5","Ich möchte Betrug oder irreführende Inserate vermeiden, Ich würde diesen Service nutzen, wenn er günstig ist – oder wenn mein Arbeitgeber die Kosten übernimmt.","Nicht zutreffend, da ich diesen Service nicht in Anspruch nehmen möchte.",
